TIMESTAMP,Unnamed: 0,Unnamed: 0.1,RECORD,Temp_degC,EC_uScm,pH,DO_Sat,DO_mg,Turbidity_NTU,Chloraphylla_ugL,PC1,PC2,PC3,PC4,PC5
2015-06-01 00:00:00,0.5,6038.5,38990.5,0.2846620240132808,-3.6946830420162367,0.8760885428186017,84.55000000000001,6.59,-0.4924966803389875,0.18208169456023407,0.2506205423098963,-0.45446369767537603,-0.25427799523780803,0.09908031963323641,-0.2531919206412403
2015-06-01 01:00:00,2.5,6040.5,38992.5,0.2632288223900636,-4.318542043038519,0.6867713535014367,84.2,6.625,-0.4392459233112713,0.22423556378317083,0.24047978344767668,-0.5014181264115405,-0.29540166769144605,0.1254185929559289,-0.24831325831697387
2015-06-01 02:00:00,4.5,6042.5,38994.5,0.2525122215784551,-4.569487573786808,0.3838638505939712,83.95,6.635,-0.46054622612235774,0.06967137663240304,0.2206180327464098,-0.49468138514865445,-0.33176319327230885,0.13564252070487692,-0.24188316535469093
2015-06-01 03:00:00,6.5,6044.5,38996.5,0.24822558125381256,-4.666220767203747,0.4217272884574036,83.25,6.59,-0.471196377527901,0.3787997509339384,0.22682410185708182,-0.5278271189777242,-0.32196930710093213,0.12487157384759297,-0.22536887709638026
2015-06-01 04:00:00,8.5,6046.5,38998.5,0.22679237963059534,-4.5961242502349515,0.4974541641842717,83.25,6.585,-0.4818465289334444,0.3085433022290441,0.2336403177446037,-0.5188849950206922,-0.31738085100418967,0.12678262653999395,-0.23234757202571238
2015-06-01 05:00:00,10.5,6048.5,39000.5,0.19035593687112634,-4.391442420686067,0.459590726320836,83.2,6.574999999999999,-0.5989981943944199,0.39285104067491744,0.24099559710719842,-0.5090194269504549,-0.31784398150747273,0.10646373604234627,-0.21820284309083277
2015-06-01 06:00:00,12.5,6050.5,39002.5,0.15820613443630133,-4.1040467011140045,0.6110444777745687,83.1,6.550000000000001,-0.6735492542332226,0.308543302229044,0.25671490824772,-0.4819469872624374,-0.30185182452026615,0.0964311277916414,-0.226197787453365
2015-06-01 07:00:00,14.5,6052.5,39004.5,0.20964581833202223,-3.6582328531924633,0.6110444777745687,82.65,6.460000000000001,-0.6735492542332226,0.2804407227470863,0.24975432120154983,-0.44656438701941537,-0.285451176508957,0.07532241827667868,-0.2215068497338269
2015-06-01 08:00:00,16.5,6054.5,39006.5,0.2525122215784558,-3.3217695717422435,0.8382251049551694,83.75,6.5,-0.7161498598553956,0.3787997509339384,0.2611964060663732,-0.4320004256054081,-0.2382807800249545,0.05066700316604002,-0.22363217076475303
2015-06-01 09:00:00,18.5,6056.5,39008.5,0.2953786248248894,-2.8801615148388295,0.9896788564089021,83.95,6.465,-0.5563975887722471,0.4209536201568751,0.25169310746900714,-0.405804647860359,-0.18547193980564908,0.04213564108450863,-0.21959041251315004
2015-06-01 10:00:00,20.5,6058.5,39010.5,0.3575349095322181,-2.9909140116495276,1.0275422942723378,84.8,6.515000000000001,-0.15169183536160386,0.4209536201568751,0.22344151258806305,-0.43311243575955427,-0.1749067878356191,0.08870971837666614,-0.22774857811926572
2015-06-01 11:00:00,22.5,6060.5,39012.5,0.40254463294097376,-3.250271124434071,1.1032691699992023,86.5,6.665,-0.10909122973943085,1.0954155277238613,0.23076389372463318,-0.5306209664853216,-0.15188204238439568,0.06342287266708876,-0.1825509933195691
2015-06-01 12:00:00,24.5,6062.5,39014.5,0.4582709571613379,-3.532059122648631,0.9896788564089021,87.3,6.734999999999999,-0.06649062411725803,1.2078258456516924,0.21979476260491612,-0.5630065680995618,-0.17429878656404313,0.06993059051759773,-0.17792989874993076
2015-06-01 13:00:00,26.5,6064.5,39016.5,0.49899404024544947,-4.022734741430201,0.8760885428186018,88.3,6.855,-0.18364228957823364,1.3342874533205022,0.22126735871201947,-0.5996714109621255,-0.20687249314040973,0.07014001838386204,-0.17869683412368442
2015-06-01 14:00:00,28.5,6066.5,39018.5,0.5311438426802753,-4.540047036659914,0.8003616670917371,89.7,7.0,-0.07714077552280124,1.3061848738385446,0.21082133830983352,-0.6222211001742544,-0.23063393467358728,0.10031087399273356,-0.1921452160697688
2015-06-01 15:00:00,30.5,6068.5,39020.5,0.5397171233295618,-4.716690259421279,0.9139519806820341,91.9,7.1850000000000005,-0.16234198676714706,2.135210968556299,0.21543143453874392,-0.6786189877295596,-0.17985459209134713,0.061134564564200466,-0.13512160824789832
2015-06-01 16:00:00,32.5,6070.5,39022.5,0.475417518459911,-4.54845861869617,1.0275422942723378,90.95,7.12,-0.35404471206692545,1.5731593789171432,0.24248293127890558,-0.6383832275874286,-0.20485824638565164,0.0693798946383807,-0.1828640442583448
2015-06-01 17:00:00,34.5,6072.5,39024.5,0.42826447488883346,-4.1699374270646725,0.8760885428186017,90.1,7.025,-0.3859951662835552,1.278082294356587,0.24014253774423006,-0.5957695115992361,-0.224294571000632,0.06545922474982374,-0.18607843897255444
2015-06-01 18:00:00,36.5,6074.5,39026.5,0.38539807164240053,-3.7381428825368896,1.06540573213577,90.5,7.025,-0.4818465289334442,1.5872106686581224,0.2577084498910036,-0.5968671034364741,-0.17172304317532683,0.024153461711603857,-0.1541193303584673
2015-06-01 19:00:00,38.5,6076.5,39028.5,0.3511049490452536,-3.0329719218308044,1.06540573213577,87.65,6.745,-0.3646948634724687,1.2218771353926714,0.24487408626347723,-0.5141197450376316,-0.14311393157981067,0.021072832989366404,-0.15768803062739006
