,Unnamed: 0,TIMESTAMP,RECORD,Temp_degC,EC_uScm,pH,DO_Sat,DO_mg,Turbidity_NTU,Chloraphylla_ugL,PC1,PC2,PC3,PC4,PC5
0,6038,2015-06-01 00:03:30,38990,0.2996652651495327,-3.4465413719466995,0.9518154185454665,84.4,6.55,-0.48184652893344426,0.28044072274708626,0.2526782743709045,-0.4464279588257318,-0.2306859417356651,0.08471077115891723,-0.24644131104930608
1,6039,2015-06-01 00:33:30,38991,0.26965878287702894,-3.942824712085774,0.8003616670917371,84.7,6.63,-0.5031468317445309,0.08372266637338188,0.248562810248888,-0.4624994365250203,-0.277870048739951,0.1134498681075556,-0.25994253023317454
2,6040,2015-06-01 01:03:30,38992,0.26965878287702894,-4.254053247427227,0.8003616670917371,84.2,6.62,-0.41794562050018486,0.19613298430121304,0.24602598730423805,-0.49815831889584833,-0.28309042497123377,0.12746584549097373,-0.25687114232901026
3,6041,2015-06-01 01:33:30,38993,0.25679886190309836,-4.383030838649812,0.5731810399111363,84.2,6.63,-0.46054622612235785,0.2523381432651286,0.23493357959111533,-0.5046779339272327,-0.3077129104116584,0.12337134042088405,-0.2397553743049375
4,6042,2015-06-01 02:03:30,38994,0.25679886190309836,-4.517616151229899,0.49745416418427163,84.2,6.65,-0.43924592331127127,0.08372266637338188,0.2270145620003088,-0.49641879241892517,-0.32065493609825974,0.1365224586994717,-0.24784928954898675
5,6043,2015-06-01 02:33:30,38995,0.24822558125381178,-4.621358996343718,0.2702735370036709,83.7,6.62,-0.48184652893344426,0.05562008689142422,0.2142215034925108,-0.49294397787838373,-0.34287145044635814,0.13476258271028213,-0.23591704116039508
6,6044,2015-06-01 03:03:30,38996,0.24393894092916926,-4.624162857022469,0.34600041273053556,83.6,6.61,-0.46054622612235785,0.44905619963883275,0.22226719817826482,-0.5298762529812472,-0.32590917639397965,0.12045445738034073,-0.21496753790183395
7,6045,2015-06-01 03:33:30,38997,0.2525122215784558,-4.7082786773850245,0.49745416418427163,82.9,6.57,-0.48184652893344426,0.30854330222904397,0.23138100553589885,-0.5257779849742013,-0.3180294378078846,0.12928869031484522,-0.2357702162909266
8,6046,2015-06-01 04:03:30,38998,0.2525122215784558,-4.590516528877447,0.5731810399111363,83.4,6.59,-0.46054622612235785,0.19613298430121304,0.23455003622172277,-0.5119449034358474,-0.3126981394993579,0.13318677257456893,-0.24616148849310476
9,6047,2015-06-01 04:33:30,38999,0.20107253768273492,-4.6017319715924545,0.421727288457407,83.1,6.58,-0.5031468317445309,0.4209536201568751,0.2327305992674846,-0.5258250866055371,-0.3220635625090214,0.12037848050541895,-0.21853365555831994
10,6048,2015-06-01 05:03:30,39000,0.18821261670880432,-4.4951852657998845,0.34600041273053556,82.7,6.55,-0.5457474373667037,0.2523381432651286,0.22952338992866464,-0.5013368542361505,-0.3333786861684411,0.12024377440803005,-0.22232123053670272
11,6049,2015-06-01 05:33:30,39001,0.19249925703344836,-4.287699575572249,0.5731810399111363,83.7,6.6,-0.6522489514221361,0.5333639380847063,0.2524678042857322,-0.5167019996647592,-0.3023092768465044,0.0926836976766625,-0.21408445564496284
12,6050,2015-06-01 06:03:30,39002,0.15391949411165806,-4.237230083354716,0.648907915638001,83.2,6.57,-0.6948495570443091,0.5052613586027483,0.2627713646214681,-0.5103407514686469,-0.2965650734307847,0.09118638194286462,-0.2171997600283037
13,6051,2015-06-01 06:33:30,39003,0.16249277476094462,-3.9708633188732922,0.5731810399111363,83.0,6.53,-0.6522489514221361,0.11182524585533966,0.25065845187397184,-0.453553223056228,-0.3071385756097476,0.10167587364041818,-0.23519581487842622
14,6052,2015-06-01 07:03:30,39004,0.20535917800737896,-3.7157119971068755,0.5731810399111363,82.3,6.44,-0.6522489514221361,0.2523381432651286,0.24641990022358579,-0.44811228082728655,-0.2925470066462049,0.08118221950484075,-0.2221591088327809
